window_size,learning_rate,architecture,batch_size,epochs,num_layers,weight_decay,clip_grad,pct_start,model_type,avg_score,std_score,fold_scores,execution_time
120,0.005,"(0, 0, 0.1)",64,50,1,0.0001,5.0,0.1,dlinear,64.94808,3.6157973,"[np.float32(59.93808), np.float32(70.062065), np.float32(64.175804), np.float32(65.61636)]",183.13629484176636
120,0.005,"(0, 0, 0.1)",64,50,1,0.005,5.0,0.1,dlinear,65.20673,4.772611,"[np.float32(57.60022), np.float32(67.65754), np.float32(65.1431), np.float32(70.426094)]",191.17620182037354
120,0.005,"(0, 0, 0.1)",64,50,2,0.0001,5.0,0.1,dlinear,63.213814,3.6964204,"[np.float32(59.495167), np.float32(65.95688), np.float32(59.65034), np.float32(67.75287)]",180.85030841827393
120,0.005,"(0, 0, 0.1)",64,50,2,0.005,5.0,0.1,dlinear,63.98678,3.337723,"[np.float32(60.43874), np.float32(62.189083), np.float32(63.97143), np.float32(69.34785)]",174.3580322265625
120,0.005,"(0, 0, 0.1)",128,50,1,0.0001,5.0,0.1,dlinear,60.526886,3.9213364,"[np.float32(56.603268), np.float32(65.73397), np.float32(56.870575), np.float32(62.89973)]",126.80978751182556
120,0.005,"(0, 0, 0.1)",128,50,1,0.005,5.0,0.1,dlinear,62.236046,2.0403283,"[np.float32(61.207966), np.float32(61.38965), np.float32(60.611877), np.float32(65.73469)]",122.64511489868164
120,0.005,"(0, 0, 0.1)",128,50,2,0.0001,5.0,0.1,dlinear,62.98726,2.1061473,"[np.float32(59.40012), np.float32(64.495155), np.float32(63.557583), np.float32(64.49618)]",121.87290048599243
120,0.005,"(0, 0, 0.1)",128,50,2,0.005,5.0,0.1,dlinear,63.01033,1.985396,"[np.float32(59.780533), np.float32(64.88087), np.float32(63.014355), np.float32(64.36557)]",120.68857216835022
120,0.001,"(0, 0, 0.1)",64,50,1,0.0001,5.0,0.1,dlinear,59.68118,0.6649323,"[np.float32(59.348606), np.float32(60.404724), np.float32(58.758373), np.float32(60.213013)]",179.65269207954407
120,0.001,"(0, 0, 0.1)",64,50,1,0.005,5.0,0.1,dlinear,60.25941,3.4394238,"[np.float32(54.538483), np.float32(61.71223), np.float32(61.095295), np.float32(63.69163)]",178.64820408821106
120,0.001,"(0, 0, 0.1)",64,50,2,0.0001,5.0,0.1,dlinear,59.69328,1.9932554,"[np.float32(56.739834), np.float32(59.218426), np.float32(62.13795), np.float32(60.676907)]",201.14660596847534
120,0.001,"(0, 0, 0.1)",64,50,2,0.005,5.0,0.1,dlinear,59.93406,2.702296,"[np.float32(56.262096), np.float32(59.359608), np.float32(60.271164), np.float32(63.843365)]",220.85727167129517
120,0.001,"(0, 0, 0.1)",128,50,1,0.0001,5.0,0.1,dlinear,60.596214,2.3917365,"[np.float32(56.544117), np.float32(61.288372), np.float32(61.86482), np.float32(62.68755)]",149.34627056121826
120,0.001,"(0, 0, 0.1)",128,50,1,0.005,5.0,0.1,dlinear,59.89101,1.7751082,"[np.float32(57.672806), np.float32(60.773808), np.float32(58.82485), np.float32(62.292587)]",151.83888912200928
120,0.001,"(0, 0, 0.1)",128,50,2,0.0001,5.0,0.1,dlinear,61.64525,1.9888705,"[np.float32(59.49177), np.float32(64.14353), np.float32(59.910145), np.float32(63.035557)]",166.4193720817566
120,0.001,"(0, 0, 0.1)",128,50,2,0.005,5.0,0.1,dlinear,58.324696,1.9798679,"[np.float32(55.28776), np.float32(57.965076), np.float32(59.49432), np.float32(60.55162)]",151.72230434417725
